prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,9.559656752123077
0,0,1,64,9.692781752123077
0,0,1,256,10.330281752123076
0,0,1,1024,11.205281752123078
0,0,1,4096,16.62528175212308
0,0,1,16384,32.00278175212308
0,0,2,16,9.559656752123077
0,0,2,64,9.692781752123077
0,0,2,256,10.330281752123076
0,0,2,1024,11.205281752123078
0,0,2,4096,16.62528175212308
0,0,2,16384,32.00278175212308
0,0,8,16,9.559656752123077
0,0,8,64,9.692781752123077
0,0,8,256,10.330281752123076
0,0,8,1024,11.205281752123078
0,0,8,4096,16.62528175212308
0,0,8,16384,32.00278175212308
0,0,32,16,12.199310252509092
0,0,32,64,10.927781752123076
0,0,32,256,12.202781752123077
0,0,32,1024,13.952781752123078
0,0,32,4096,24.79278175212308
0,0,32,16384,55.54778175212307
0,0,128,16,18.81056025250909
0,0,128,64,29.51413621028571
0,0,128,256,45.9521585289014
0,0,128,1024,52.95215852890141
0,0,128,4096,96.31215852890142
0,0,128,16384,219.3321585289014
0,0,256,16,27.62556025250909
0,0,256,64,39.39413621028571
0,0,256,256,98.679476736
0,0,256,1024,101.07748715719481
0,0,256,4096,187.7974871571948
0,0,256,16384,433.8374871571948
0,0,512,16,45.255560252509085
0,0,512,64,59.15413621028571
0,0,512,256,128.639476736
0,0,512,1024,184.58036288140661
0,0,512,4096,358.02036288140664
0,0,512,16384,850.1003628814066
16,0,0,0,11.20056025250909
16,0,1,16,20.760217004632167
16,0,1,64,20.893342004632167
16,0,1,256,21.530842004632166
16,0,1,1024,22.40584200463217
16,0,1,4096,27.825842004632168
16,0,1,16384,43.20334200463216
16,0,2,16,20.760217004632167
16,0,2,64,20.893342004632167
16,0,2,256,21.530842004632166
16,0,2,1024,22.40584200463217
16,0,2,4096,27.825842004632168
16,0,2,16384,43.20334200463216
16,0,8,16,20.760217004632167
16,0,8,64,20.893342004632167
16,0,8,256,21.530842004632166
16,0,8,1024,22.40584200463217
16,0,8,4096,27.825842004632168
16,0,8,16384,43.20334200463216
16,0,32,16,23.399870505018182
16,0,32,64,22.128342004632167
16,0,32,256,23.40334200463217
16,0,32,1024,25.15334200463217
16,0,32,4096,35.99334200463217
16,0,32,16384,66.74834200463216
16,0,128,16,30.01112050501818
16,0,128,64,40.714696462794805
16,0,128,256,57.152718781410485
16,0,128,1024,64.1527187814105
16,0,128,4096,107.5127187814105
16,0,128,16384,230.53271878141052
16,0,256,16,38.82612050501818
16,0,256,64,50.59469646279479
16,0,256,256,109.88003698850908
16,0,256,1024,112.2780474097039
16,0,256,4096,198.9980474097039
16,0,256,16384,445.0380474097039
16,0,512,16,56.45612050501817
16,0,512,64,70.35469646279479
16,0,512,256,139.84003698850913
16,0,512,1024,195.7809231339157
16,0,512,4096,369.22092313391573
16,0,512,16384,861.3009231339156
16,512,0,0,12.787781752123076
16,512,1,16,22.347438504246153
16,512,1,64,22.480563504246152
16,512,1,256,23.11806350424615
16,512,1,1024,23.99306350424615
16,512,1,4096,29.413063504246153
16,512,1,16384,44.79056350424615
16,512,2,16,22.347438504246153
16,512,2,64,22.480563504246152
16,512,2,256,23.11806350424615
16,512,2,1024,23.99306350424615
16,512,2,4096,29.413063504246153
16,512,2,16384,44.79056350424615
16,512,8,16,22.347438504246153
16,512,8,64,22.480563504246152
16,512,8,256,23.11806350424615
16,512,8,1024,23.99306350424615
16,512,8,4096,29.413063504246153
16,512,8,16384,44.79056350424615
