layer,tokens,time_us
embedding,1,0.0025
embedding,2,0.005
embedding,4,0.01
embedding,8,0.02
embedding,16,0.04
embedding,32,0.08
embedding,64,0.16
embedding,128,0.32
embedding,256,0.64
embedding,512,1.28
embedding,1024,2.56
embedding,2048,5.12
layernorm,1,2.4988900631272726
layernorm,2,2.4988900631272726
layernorm,4,2.4988900631272726
layernorm,8,2.4988900631272726
layernorm,16,2.4988900631272726
layernorm,32,2.4988900631272726
layernorm,64,5.020601040073059
layernorm,128,9.99556025250909
layernorm,256,20.082404160292235
layernorm,512,40.16480832058447
layernorm,1024,79.6026517846878
layernorm,2048,141.87246810012903
qkv_proj,1,0.9475
qkv_proj,2,1.5625000000000002
qkv_proj,4,2.7925
qkv_proj,8,5.2525
qkv_proj,16,10.172500000000001
qkv_proj,32,13.702499999999999
qkv_proj,64,27.0625
qkv_proj,128,48.80500000000001
qkv_proj,256,84.265
qkv_proj,512,161.9575
qkv_proj,1024,320.77750000000003
qkv_proj,2048,639.8175
rotary_emb,1,0.006
rotary_emb,2,0.012
rotary_emb,4,0.024
rotary_emb,8,0.048
rotary_emb,16,0.096
rotary_emb,32,0.192
rotary_emb,64,0.384
rotary_emb,128,0.768
rotary_emb,256,1.536
rotary_emb,512,3.072
rotary_emb,1024,6.144
rotary_emb,2048,12.288
o_proj,1,0.8975
o_proj,2,1.4625
o_proj,4,2.5925000000000002
o_proj,8,4.8525
o_proj,16,9.3725
o_proj,32,10.8225
o_proj,64,21.3025
o_proj,128,36.005
o_proj,256,61.22500000000001
o_proj,512,122.105
o_proj,1024,243.86499999999998
o_proj,2048,487.38499999999993
gate_up_proj,1,2.9025000000000003
gate_up_proj,2,5.472499999999999
gate_up_proj,4,10.6125
gate_up_proj,8,20.892500000000002
gate_up_proj,16,41.4525
gate_up_proj,32,75.6225
gate_up_proj,64,150.90250000000003
gate_up_proj,128,297.72499999999997
gate_up_proj,256,422.43749999999994
gate_up_proj,512,821.7374999999998
gate_up_proj,1024,1641.7374999999997
gate_up_proj,2048,3281.7375000000006
act_fn,1,37.15977072715759
act_fn,2,37.066638469696045
act_fn,4,37.439167499542236
act_fn,8,37.066638469696045
act_fn,16,36.600977182388306
act_fn,32,37.34603524208069
act_fn,64,37.25290298461914
act_fn,128,37.81169652938843
act_fn,256,46.193599700927734
act_fn,512,62.30548024177551
act_fn,1024,94.62237358093262
act_fn,2048,159.72182154655457
down_proj,1,2.1624999999999996
down_proj,2,3.9925
down_proj,4,7.652500000000002
down_proj,8,14.972500000000002
down_proj,16,29.6125
down_proj,32,50.510000000000005
down_proj,64,91.07000000000001
down_proj,128,165.48
down_proj,256,235.31999999999996
down_proj,512,456.42
down_proj,1024,911.46
down_proj,2048,1821.5399999999997
final_layernorm,1,2.4988900631272726
final_layernorm,2,2.4988900631272726
final_layernorm,4,2.4988900631272726
final_layernorm,8,2.4988900631272726
final_layernorm,16,2.4988900631272726
final_layernorm,32,2.4988900631272726
final_layernorm,64,5.020601040073059
final_layernorm,128,9.99556025250909
final_layernorm,256,20.082404160292235
final_layernorm,512,40.16480832058447
final_layernorm,1024,79.6026517846878
final_layernorm,2048,141.87246810012903
qk_norm,1,5.020601040073059
qk_norm,2,10.064179659276888
qk_norm,4,10.064179659276888
qk_norm,8,10.064179659276888
qk_norm,16,10.064179659276888
qk_norm,32,10.064179659276888
qk_norm,64,10.064179659276888
qk_norm,128,10.064179659276888
qk_norm,256,10.064179659276888
qk_norm,512,10.064179659276888
qk_norm,1024,10.064179659276888
qk_norm,2048,10.064179659276888
