layer,tokens,time_us
embedding,1,0.002
embedding,2,0.004
embedding,4,0.008
embedding,8,0.016
embedding,16,0.032
embedding,32,0.064
embedding,64,0.128
embedding,128,0.256
embedding,256,0.512
embedding,512,1.024
embedding,1024,2.048
embedding,2048,4.096
layernorm,1,2.4988900631272726
layernorm,2,2.4988900631272726
layernorm,4,2.4988900631272726
layernorm,8,2.4988900631272726
layernorm,16,2.4988900631272726
layernorm,32,2.4988900631272726
layernorm,64,5.020601040073059
layernorm,128,9.99556025250909
layernorm,256,20.082404160292235
layernorm,512,40.16480832058447
layernorm,1024,79.6026517846878
layernorm,2048,141.87246810012903
qkv_proj,1,0.8825000000000001
qkv_proj,2,1.4325
qkv_proj,4,2.5324999999999998
qkv_proj,8,4.7325
qkv_proj,16,9.1325
qkv_proj,32,11.6225
qkv_proj,64,22.9025
qkv_proj,128,38.745000000000005
qkv_proj,256,69.14999999999999
qkv_proj,512,122.91
qkv_proj,1024,238.19
qkv_proj,2048,474.99
rotary_emb,1,0.005
rotary_emb,2,0.01
rotary_emb,4,0.02
rotary_emb,8,0.04
rotary_emb,16,0.08
rotary_emb,32,0.16
rotary_emb,64,0.32
rotary_emb,128,0.64
rotary_emb,256,1.28
rotary_emb,512,2.56
rotary_emb,1024,5.12
rotary_emb,2048,10.24
o_proj,1,0.7525
o_proj,2,1.0925
o_proj,4,2.0125000000000006
o_proj,8,3.6925000000000003
o_proj,16,7.0525
o_proj,32,8.7425
o_proj,64,17.142500000000002
o_proj,128,27.225000000000005
o_proj,256,49.065
o_proj,512,97.785
o_proj,1024,194.59000000000003
o_proj,2048,378.91
gate_up_proj,1,1.8325000000000002
gate_up_proj,2,3.3325
gate_up_proj,4,6.3325000000000005
gate_up_proj,8,12.332500000000001
gate_up_proj,16,24.332500000000003
gate_up_proj,32,43.3025
gate_up_proj,64,86.2625
gate_up_proj,128,151.07
gate_up_proj,256,209.95
gate_up_proj,512,401.38999999999993
gate_up_proj,1024,801.3899999999999
gate_up_proj,2048,1601.39
act_fn,1,42.557716369628906
act_fn,2,41.618943214416504
act_fn,4,41.51463508605957
act_fn,8,41.931867599487305
act_fn,16,41.51463508605957
act_fn,32,40.9930944442749
act_fn,64,41.82755947113037
act_fn,128,41.72325134277344
act_fn,256,42.34910011291504
act_fn,512,51.73683166503906
act_fn,1024,69.78213787078857
act_fn,2048,105.97705841064453
down_proj,1,1.725
down_proj,2,2.785
down_proj,4,4.905
down_proj,8,9.145
down_proj,16,17.624999999999996
down_proj,32,23.685000000000002
down_proj,64,42.88499999999999
down_proj,128,70.09
down_proj,256,98.99
down_proj,512,193.01
down_proj,1024,385.33000000000004
down_proj,2048,769.97
final_layernorm,1,2.4988900631272726
final_layernorm,2,2.4988900631272726
final_layernorm,4,2.4988900631272726
final_layernorm,8,2.4988900631272726
final_layernorm,16,2.4988900631272726
final_layernorm,32,2.4988900631272726
final_layernorm,64,5.020601040073059
final_layernorm,128,9.99556025250909
final_layernorm,256,20.082404160292235
final_layernorm,512,40.16480832058447
final_layernorm,1024,79.6026517846878
final_layernorm,2048,141.87246810012903
