prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,12.419031752123077
0,0,1,64,12.487781752123077
0,0,1,256,12.547781752123077
0,0,1,1024,13.272781752123075
0,0,1,4096,17.10278175212308
0,0,1,16384,32.942781752123075
0,0,2,16,16.38028175212308
0,0,2,64,16.517781752123074
0,0,2,256,16.637781752123075
0,0,2,1024,18.087781752123075
0,0,2,4096,25.747781752123082
0,0,2,16384,57.427781752123074
0,0,8,16,40.14778175212308
0,0,8,64,40.69778175212308
0,0,8,256,41.177781752123074
0,0,8,1024,46.97778175212307
0,0,8,4096,77.6177817521231
0,0,8,16384,204.33778175212308
0,0,32,16,136.75556025250913
0,0,32,64,137.4177817521231
0,0,32,256,139.33778175212305
0,0,32,1024,162.53778175212307
0,0,32,4096,285.0977817521231
0,0,32,16384,791.9777817521232
0,0,128,16,517.0355602525091
0,0,128,64,535.4741362102858
0,0,128,256,554.4921585289013
0,0,128,1024,647.2921585289013
0,0,128,4096,1137.5321585289014
0,0,128,16384,3165.0521585289016
0,0,256,16,1024.0755602525091
0,0,256,64,1051.3141362102858
0,0,256,256,1115.759476736
0,0,256,1024,1289.7574871571946
0,0,256,4096,2270.237487157195
0,0,256,16384,6325.277487157195
16,0,0,0,15.045560252509091
16,0,1,16,27.46459200463217
16,0,1,64,27.53334200463217
16,0,1,256,27.593342004632166
16,0,1,1024,28.318342004632168
16,0,1,4096,32.14834200463216
16,0,1,16384,47.988342004632166
16,0,2,16,31.425842004632173
16,0,2,64,31.56334200463217
16,0,2,256,31.683342004632163
16,0,2,1024,33.13334200463217
16,0,2,4096,40.79334200463217
16,0,2,16384,72.47334200463217
16,0,8,16,55.19334200463217
16,0,8,64,55.743342004632176
16,0,8,256,56.223342004632165
16,0,8,1024,62.02334200463216
16,0,8,4096,92.66334200463218
16,0,8,16384,219.38334200463217
16,0,32,16,151.8011205050182
16,0,32,64,152.46334200463218
16,0,32,256,154.38334200463214
16,0,32,1024,177.58334200463216
16,0,32,4096,300.1433420046322
16,0,32,16384,807.0233420046322
16,0,128,16,532.0811205050181
16,0,128,64,550.5196964627949
16,0,128,256,569.5377187814104
16,0,128,1024,662.3377187814104
16,0,128,4096,1152.5777187814106
16,0,128,16384,3180.097718781411
16,0,256,16,1039.1211205050183
16,0,256,64,1066.359696462795
16,0,256,256,1130.805036988509
16,0,256,1024,1304.8030474097038
16,0,256,4096,2285.2830474097045
16,0,256,16384,6340.323047409704
16,512,0,0,27.86778175212308
16,512,1,16,40.286813504246155
16,512,1,64,40.355563504246156
16,512,1,256,40.41556350424616
16,512,1,1024,41.14056350424616
16,512,1,4096,44.97056350424616
16,512,1,16384,60.810563504246154
16,512,2,16,44.24806350424616
16,512,2,64,44.38556350424616
16,512,2,256,44.505563504246155
16,512,2,1024,45.95556350424616
16,512,2,4096,53.61556350424616
16,512,2,16384,85.29556350424616
16,512,8,16,68.01556350424616
16,512,8,64,68.56556350424616
