layer,tokens,time_us
embedding,1,0.0025
embedding,2,0.005
embedding,4,0.01
embedding,8,0.02
embedding,16,0.04
embedding,32,0.08
embedding,64,0.16
embedding,128,0.32
embedding,256,0.64
embedding,512,1.28
embedding,1024,2.56
embedding,2048,5.12
layernorm,1,2.4988900631272726
layernorm,2,2.4988900631272726
layernorm,4,2.4988900631272726
layernorm,8,2.4988900631272726
layernorm,16,2.4988900631272726
layernorm,32,2.4988900631272726
layernorm,64,5.020601040073059
layernorm,128,9.99556025250909
layernorm,256,20.082404160292235
layernorm,512,40.16480832058447
layernorm,1024,79.6026517846878
layernorm,2048,141.87246810012903
qkv_proj,1,2.0850000000000004
qkv_proj,2,3.8350000000000004
qkv_proj,4,7.335000000000002
qkv_proj,8,14.335000000000004
qkv_proj,16,28.335000000000004
qkv_proj,32,50.665000000000006
qkv_proj,64,100.98500000000001
qkv_proj,128,201.38250000000002
qkv_proj,256,280.35749999999996
qkv_proj,512,537.5775
qkv_proj,1024,1073.4174999999998
qkv_proj,2048,2142.6724999999997
rotary_emb,1,0.006
rotary_emb,2,0.012
rotary_emb,4,0.024
rotary_emb,8,0.048
rotary_emb,16,0.096
rotary_emb,32,0.192
rotary_emb,64,0.384
rotary_emb,128,0.768
rotary_emb,256,1.536
rotary_emb,512,3.072
rotary_emb,1024,6.144
rotary_emb,2048,12.288
o_proj,1,1.665
o_proj,2,2.9949999999999997
o_proj,4,5.655
o_proj,8,10.975000000000001
o_proj,16,21.615
o_proj,32,37.225
o_proj,64,74.10499999999999
o_proj,128,147.6225
o_proj,256,211.2375
o_proj,512,399.3375
o_proj,1024,796.9375
o_proj,2048,1589.7124999999999
gate_up_proj,1,10.625
gate_up_proj,2,19.575000000000003
gate_up_proj,4,37.475
gate_up_proj,8,73.275
gate_up_proj,16,144.87499999999997
gate_up_proj,32,254.42499999999995
gate_up_proj,64,485.72499999999997
gate_up_proj,128,969.7249999999998
gate_up_proj,256,1766.4374999999995
gate_up_proj,512,3509.7374999999997
gate_up_proj,1024,7017.737500000001
gate_up_proj,2048,14033.737499999997
act_fn,1,37.15977072715759
act_fn,2,37.066638469696045
act_fn,4,37.439167499542236
act_fn,8,37.066638469696045
act_fn,16,36.600977182388306
act_fn,32,37.34603524208069
act_fn,64,37.25290298461914
act_fn,128,37.81169652938843
act_fn,256,46.193599700927734
act_fn,512,62.30548024177551
act_fn,1024,94.62237358093262
act_fn,2048,159.72182154655457
down_proj,1,4.7125
down_proj,2,9.0925
down_proj,4,17.852500000000003
down_proj,8,35.3725
down_proj,16,70.4125
down_proj,32,134.0225
down_proj,64,267.7025
down_proj,128,534.8125
down_proj,256,956.615
down_proj,512,1885.1349999999995
down_proj,1024,3766.0875
down_proj,2048,7529.847500000002
final_layernorm,1,2.4988900631272726
final_layernorm,2,2.4988900631272726
final_layernorm,4,2.4988900631272726
final_layernorm,8,2.4988900631272726
final_layernorm,16,2.4988900631272726
final_layernorm,32,2.4988900631272726
final_layernorm,64,5.020601040073059
final_layernorm,128,9.99556025250909
final_layernorm,256,20.082404160292235
final_layernorm,512,40.16480832058447
final_layernorm,1024,79.6026517846878
final_layernorm,2048,141.87246810012903
qk_norm,1,5.020601040073059
qk_norm,2,10.064179659276888
qk_norm,4,10.064179659276888
qk_norm,8,10.064179659276888
qk_norm,16,10.064179659276888
qk_norm,32,10.064179659276888
qk_norm,64,10.064179659276888
qk_norm,128,10.064179659276888
qk_norm,256,10.064179659276888
qk_norm,512,10.064179659276888
qk_norm,1024,10.064179659276888
qk_norm,2048,10.064179659276888
