layer,tokens,time_us
embedding,1,0.002
embedding,2,0.004
embedding,4,0.008
embedding,8,0.016
embedding,16,0.032
embedding,32,0.064
embedding,64,0.128
embedding,128,0.256
embedding,256,0.512
embedding,512,1.024
embedding,1024,2.048
embedding,2048,4.096
layernorm,1,2.4988900631272726
layernorm,2,2.4988900631272726
layernorm,4,2.4988900631272726
layernorm,8,2.4988900631272726
layernorm,16,2.4988900631272726
layernorm,32,2.4988900631272726
layernorm,64,5.020601040073059
layernorm,128,9.99556025250909
layernorm,256,20.082404160292235
layernorm,512,40.16480832058447
layernorm,1024,79.6026517846878
layernorm,2048,141.87246810012903
qkv_proj,1,1.3925
qkv_proj,2,2.4525
qkv_proj,4,4.5725
qkv_proj,8,8.8125
qkv_proj,16,17.2925
qkv_proj,32,28.802500000000006
qkv_proj,64,52.9825
qkv_proj,128,105.6225
qkv_proj,256,176.645
qkv_proj,512,348.6650000000001
qkv_proj,1024,696.7325000000002
qkv_proj,2048,1393.1325000000002
rotary_emb,1,0.005
rotary_emb,2,0.01
rotary_emb,4,0.02
rotary_emb,8,0.04
rotary_emb,16,0.08
rotary_emb,32,0.16
rotary_emb,64,0.32
rotary_emb,128,0.64
rotary_emb,256,1.28
rotary_emb,512,2.56
rotary_emb,1024,5.12
rotary_emb,2048,10.24
o_proj,1,1.1725000000000003
o_proj,2,2.0125
o_proj,4,3.6925000000000003
o_proj,8,7.052500000000001
o_proj,16,13.772500000000003
o_proj,32,21.7625
o_proj,64,38.9025
o_proj,128,77.4625
o_proj,256,120.325
o_proj,512,236.02499999999998
o_proj,1024,471.45250000000004
o_proj,2048,942.5725000000001
gate_up_proj,1,3.8125000000000004
gate_up_proj,2,7.292500000000001
gate_up_proj,4,14.252500000000003
gate_up_proj,8,28.172500000000003
gate_up_proj,16,56.0125
gate_up_proj,32,106.24249999999999
gate_up_proj,64,207.8625
gate_up_proj,128,415.3825
gate_up_proj,256,796.1650000000001
gate_up_proj,512,1587.7050000000002
gate_up_proj,1024,3044.69
gate_up_proj,2048,6131.837500000001
act_fn,1,42.557716369628906
act_fn,2,41.618943214416504
act_fn,4,41.51463508605957
act_fn,8,41.931867599487305
act_fn,16,41.51463508605957
act_fn,32,40.9930944442749
act_fn,64,41.82755947113037
act_fn,128,41.72325134277344
act_fn,256,42.34910011291504
act_fn,512,51.73683166503906
act_fn,1024,69.78213787078857
act_fn,2048,105.97705841064453
down_proj,1,3.0300000000000007
down_proj,2,5.390000000000001
down_proj,4,10.110000000000001
down_proj,8,19.550000000000004
down_proj,16,38.43000000000001
down_proj,32,64.43
down_proj,64,123.88999999999999
down_proj,128,247.09000000000006
down_proj,256,438.1725
down_proj,512,876.0125
down_proj,1024,1751.6924999999999
down_proj,2048,3467.625
final_layernorm,1,2.4988900631272726
final_layernorm,2,2.4988900631272726
final_layernorm,4,2.4988900631272726
final_layernorm,8,2.4988900631272726
final_layernorm,16,2.4988900631272726
final_layernorm,32,2.4988900631272726
final_layernorm,64,5.020601040073059
final_layernorm,128,9.99556025250909
final_layernorm,256,20.082404160292235
final_layernorm,512,40.16480832058447
final_layernorm,1024,79.6026517846878
final_layernorm,2048,141.87246810012903
