prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,9.144201505209496
0,0,1,64,9.213337307678634
0,0,1,256,9.494818789160114
0,0,1,1024,10.64543607311073
0,0,1,4096,14.038028665703324
0,0,1,16384,27.420744715086038
0,0,2,16,9.830621258295915
0,0,2,64,9.968892863234187
0,0,2,256,10.531855826197152
0,0,2,1024,12.833090394098386
0,0,2,4096,19.61827557928357
0,0,2,16384,46.383707678049
0,0,8,16,13.949139776814434
0,0,8,64,14.502226196567522
0,0,8,256,16.754078048419373
0,0,8,1024,25.95901632002431
0,0,8,4096,53.09975706076505
0,0,8,16384,160.16148545582678
0,0,32,16,31.960992351274516
0,0,32,64,32.63555952990085
0,0,32,256,41.642966937308266
0,0,32,1024,78.46272002372802
0,0,32,4096,187.02568298669098
0,0,32,16384,615.272596566938
0,0,128,16,97.85728864757081
0,0,128,64,116.34524732139683
0,0,128,256,163.71289926964215
0,0,128,1024,310.9919116153212
0,0,128,4096,745.2437634671729
0,0,128,16384,2458.231417788161
0,0,256,16,185.71901704263254
0,0,256,64,213.05635843250795
0,0,256,256,334.20095821748146
0,0,256,1024,617.1569933300343
0,0,256,4096,1485.660697033738
0,0,256,16384,4911.636005675713
0,0,512,16,361.442473832756
0,0,512,64,406.4785806547302
0,0,512,256,599.6824396989631
0,0,512,1024,1216.7393752270857
0,0,512,4096,2953.746782634493
0,0,512,16384,9805.697399918445
16,0,0,0,15.605436795718965
16,0,1,16,24.74963830092846
16,0,1,64,24.8187741033976
16,0,1,256,25.10025558487908
16,0,1,1024,26.250872868829696
16,0,1,4096,29.643465461422288
16,0,1,16384,43.026181510805
16,0,2,16,25.43605805401488
16,0,2,64,25.574329658953154
16,0,2,256,26.137292621916117
16,0,2,1024,28.43852718981735
16,0,2,4096,35.223712375002535
16,0,2,16384,61.989144473767965
16,0,8,16,29.5545765725334
16,0,8,64,30.107662992286485
16,0,8,256,32.35951484413834
16,0,8,1024,41.56445311574328
16,0,8,4096,68.70519385648402
16,0,8,16384,175.76692225154574
16,0,32,16,47.566429146993485
16,0,32,64,48.24099632561982
16,0,32,256,57.24840373302723
16,0,32,1024,94.06815681944698
16,0,32,4096,202.63111978240994
16,0,32,16384,630.878033362657
16,0,128,16,113.46272544328977
16,0,128,64,131.9506841171158
16,0,128,256,179.3183360653611
16,0,128,1024,326.5973484110402
16,0,128,4096,760.8492002628919
16,0,128,16384,2473.83685458388
16,0,256,16,201.3244538383515
16,0,256,64,228.6617952282269
16,0,256,256,349.8063950132004
16,0,256,1024,632.7624301257533
16,0,256,4096,1501.266133829457
16,0,256,16384,4927.241442471432
16,0,512,16,377.04791062847494
16,0,512,64,422.08401745044915
16,0,512,256,615.2878764946821
16,0,512,1024,1232.3448120228047
16,0,512,4096,2969.352219430212
16,0,512,16384,9821.302836714163
16,512,0,0,23.50963360397493
16,512,1,16,32.65383510918443
16,512,1,64,32.72297091165356
16,512,1,256,33.00445239313504
16,512,1,1024,34.15506967708566
16,512,1,4096,37.547662269678256
16,512,1,16384,50.930378319060964
16,512,2,16,33.34025486227085
16,512,2,64,33.478526467209115
16,512,2,256,34.04148943017208
16,512,2,1024,36.34272399807332
16,512,2,4096,43.127909183258495
16,512,2,16384,69.89334128202393
16,512,8,16,37.45877338078937
16,512,8,64,38.01185980054245
16,512,8,256,40.263711652394306
16,512,8,1024,49.46864992399924
16,512,8,4096,76.60939066473998
16,512,8,16384,183.6711190598017
16,512,32,16,55.470625955249446
16,512,32,64,56.14519313387578
16,512,32,256,65.15260054128319
16,512,32,1024,101.97235362770296
16,512,32,4096,210.5353165906659
16,512,32,16384,638.782230170913
16,512,128,16,121.36692225154574
16,512,128,64,139.85488092537176
16,512,128,256,187.22253287361707
16,512,128,1024,334.50154521929613
16,512,128,4096,768.7533970711479
16,512,128,16384,2481.741051392136
16,512,256,16,209.22865064660746
16,512,256,64,236.56599203648287
16,512,256,256,357.7105918214564
16,512,256,1024,640.6666269340093
16,512,256,4096,1509.1703306377128
16,512,256,16384,4935.145639279688
16,512,512,16,384.9521074367309
16,512,512,64,429.9882142587051
16,512,512,256,623.1920733029381
16,512,512,1024,1240.2490088310606
16,512,512,4096,2977.256416238468
16,512,512,16384,9829.20703352242
16,2048,0,0,40.73432496199962
16,2048,1,16,49.87852646720911
16,2048,1,64,49.947662269678254
16,2048,1,256,50.22914375115973
16,2048,1,1024,51.37976103511035
16,2048,1,4096,54.77235362770294
16,2048,1,16384,68.15506967708566
16,2048,2,16,50.56494622029553
16,2048,2,64,50.70321782523381
16,2048,2,256,51.26618078819677
16,2048,2,1024,53.567415356098
16,2048,2,4096,60.35260054128319
16,2048,2,16384,87.11803264004863
16,2048,8,16,54.68346473881405
16,2048,8,64,55.23655115856714
16,2048,8,256,57.48840301041899
16,2048,8,1024,66.69334128202394
16,2048,8,4096,93.83408202276468
16,2048,8,16384,200.8958104178264
16,2048,32,16,72.69531731327413
16,2048,32,64,73.36988449190048
16,2048,32,256,82.37729189930789
16,2048,32,1024,119.19704498572764
16,2048,32,4096,227.7600079486906
16,2048,32,16384,656.0069215289376
16,2048,128,16,138.59161360957043
16,2048,128,64,157.07957228339643
16,2048,128,256,204.44722423164177
16,2048,128,1024,351.72623657732083
16,2048,128,4096,785.9780884291725
16,2048,128,16384,2498.9657427501606
16,2048,256,16,226.45334200463216
16,2048,256,64,253.79068339450757
16,2048,256,256,374.9352831794811
16,2048,256,1024,657.8913182920339
16,2048,256,4096,1526.3950219957376
16,2048,256,16384,4952.370330637713
16,2048,512,16,402.1767987947556
16,2048,512,64,447.2129056167298
16,2048,512,256,640.4167646609627
16,2048,512,1024,1257.4737001890853
16,2048,512,4096,2994.4811075964926
16,2048,512,16384,9846.431724880444
16,8192,0,0,100.94173236940703
16,8192,1,16,110.08593387461653
16,8192,1,64,110.15506967708566
16,8192,1,256,110.43655115856714
16,8192,1,1024,111.58716844251776
16,8192,1,4096,114.97976103511036
16,8192,1,16384,128.36247708449307
16,8192,2,16,110.77235362770296
16,8192,2,64,110.91062523264122
16,8192,2,256,111.47358819560418
16,8192,2,1024,113.77482276350543
16,8192,2,4096,120.56000794869061
16,8192,2,16384,147.32544004745603
16,8192,8,16,114.89087214622147
16,8192,8,64,115.44395856597455
16,8192,8,256,117.69581041782641
16,8192,8,1024,126.90074868943134
16,8192,8,4096,154.04148943017208
16,8192,8,16384,261.1032178252338
16,8192,32,16,132.90272472068156
16,8192,32,64,133.57729189930788
16,8192,32,256,142.5846993067153
16,8192,32,1024,179.40445239313505
16,8192,32,4096,287.967415356098
16,8192,32,16384,716.214328936345
16,8192,128,16,198.79902101697786
16,8192,128,64,217.28697969080386
16,8192,128,256,264.65463163904917
16,8192,128,1024,411.93364398472823
16,8192,128,4096,846.18549583658
16,8192,128,16384,2559.1731501575678
16,8192,256,16,286.6607494120396
16,8192,256,64,313.998090801915
16,8192,256,256,435.1426905868885
16,8192,256,1024,718.0987256994414
16,8192,256,4096,1586.602429403145
16,8192,256,16384,5012.57773804512
16,8192,512,16,462.384206202163
16,8192,512,64,507.4203130241372
16,8192,512,256,700.6241720683702
16,8192,512,1024,1317.6811075964927
16,8192,512,4096,3054.6885150038997
16,8192,512,16384,9906.639132287852
64,0,0,0,26.942778185594353
64,0,1,16,36.08697969080385
64,0,1,64,36.156115493272985
64,0,1,256,36.43759697475447
64,0,1,1024,37.58821425870508
64,0,1,4096,40.98080685129768
64,0,1,16384,54.363522900680394
64,0,2,16,36.77339944389027
64,0,2,64,36.91167104882854
64,0,2,256,37.47463401179151
64,0,2,1024,39.77586857969274
64,0,2,4096,46.561053764877926
64,0,2,16384,73.32648586364336
64,0,8,16,40.89191796240878
64,0,8,64,41.445004382161876
64,0,8,256,43.69685623401372
64,0,8,1024,52.90179450561867
64,0,8,4096,80.0425352463594
64,0,8,16384,187.10426364142114
64,0,32,16,58.90377053686887
64,0,32,64,59.57833771549521
64,0,32,256,68.58574512290262
64,0,32,1024,105.40549820932237
64,0,32,4096,213.96846117228534
64,0,32,16384,642.2153747525323
64,0,128,16,124.80006683316516
64,0,128,64,143.28802550699118
64,0,128,256,190.6556774552365
64,0,128,1024,337.9346898009156
64,0,128,4096,772.1865416527672
64,0,128,16384,2485.174195973755
64,0,256,16,212.6617952282269
64,0,256,64,239.9991366181023
64,0,256,256,361.1437364030758
64,0,256,1024,644.0997715156286
64,0,256,4096,1512.6034752193323
64,0,256,16384,4938.578783861308
64,0,512,16,388.38525201835034
64,0,512,64,433.42135884032456
64,0,512,256,626.6252178845574
64,0,512,1024,1243.68215341268
64,0,512,4096,2980.689560820087
64,0,512,16384,9832.640178104039
64,512,0,0,36.64939054430528
64,512,1,16,45.79359204951477
64,512,1,64,45.86272785198391
64,512,1,256,46.14420933346539
64,512,1,1024,47.29482661741601
64,512,1,4096,50.6874192100086
64,512,1,16384,64.07013525939132
64,512,2,16,46.48001180260119
64,512,2,64,46.618283407539465
64,512,2,256,47.18124637050243
64,512,2,1024,49.48248093840366
64,512,2,4096,56.267666123588846
64,512,2,16384,83.03309822235428
64,512,8,16,50.59853032111971
64,512,8,64,51.1516167408728
64,512,8,256,53.40346859272465
64,512,8,1024,62.60840686432959
64,512,8,4096,89.74914760507033
64,512,8,16384,196.81087600013205
64,512,32,16,68.61038289557979
64,512,32,64,69.28495007420614
64,512,32,256,78.29235748161355
64,512,32,1024,115.1121105680333
64,512,32,4096,223.67507353099626
64,512,32,16384,651.9219871112432
64,512,128,16,134.5066791918761
64,512,128,64,152.9946378657021
64,512,128,256,200.36228981394743
64,512,128,1024,347.6413021596265
64,512,128,4096,781.8931540114781
64,512,128,16384,2494.880808332466
64,512,256,16,222.36840758693782
64,512,256,64,249.70574897681323
64,512,256,256,370.85034876178673
64,512,256,1024,653.8063838743396
64,512,256,4096,1522.3100875780433
64,512,256,16384,4948.285396220018
64,512,512,16,398.09186437706126
64,512,512,64,443.12797119903547
64,512,512,256,636.3318302432683
64,512,512,1024,1253.388765771391
64,512,512,4096,2990.396173178798
64,512,512,16384,9842.34679046275
64,2048,0,0,61.49877326035466
64,2048,1,16,70.64297476556416
64,2048,1,64,70.7121105680333
64,2048,1,256,70.99359204951477
64,2048,1,1024,72.1442093334654
64,2048,1,4096,75.53680192605799
64,2048,1,16384,88.9195179754407
64,2048,2,16,71.32939451865057
64,2048,2,64,71.46766612358884
64,2048,2,256,72.03062908655181
64,2048,2,1024,74.33186365445304
64,2048,2,4096,81.11704883963823
64,2048,2,16384,107.88248093840366
64,2048,8,16,75.44791303716909
64,2048,8,64,76.00099945692219
64,2048,8,256,78.25285130877404
64,2048,8,1024,87.45778958037897
64,2048,8,4096,114.59853032111971
64,2048,8,16384,221.66025871618143
64,2048,32,16,93.45976561162918
64,2048,32,64,94.13433279025551
64,2048,32,256,103.14174019766293
64,2048,32,1024,139.96149328408268
64,2048,32,4096,248.52445624704563
64,2048,32,16384,676.7713698272927
64,2048,128,16,159.35606190792546
64,2048,128,64,177.8440205817515
64,2048,128,256,225.2116725299968
64,2048,128,1024,372.49068487567587
64,2048,128,4096,806.7425367275276
64,2048,128,16384,2519.7301910485153
64,2048,256,16,247.2177903029872
64,2048,256,64,274.55513169286263
64,2048,256,256,395.6997314778361
64,2048,256,1024,678.655766590389
64,2048,256,4096,1547.1594702940927
64,2048,256,16384,4973.134778936068
64,2048,512,16,422.94124709311063
64,2048,512,64,467.97735391508485
64,2048,512,256,661.1812129593178
64,2048,512,1024,1278.2381484874404
64,2048,512,4096,3015.2455558948473
64,2048,512,16384,9867.1961731788
64,8192,0,0,144.73827943319415
64,8192,1,16,153.88248093840366
64,8192,1,64,153.9516167408728
64,8192,1,256,154.23309822235427
64,8192,1,1024,155.3837155063049
64,8192,1,4096,158.7763080988975
64,8192,1,16384,172.1590241482802
64,8192,2,16,154.56890069149006
64,8192,2,64,154.70717229642833
64,8192,2,256,155.2701352593913
64,8192,2,1024,157.57136982729253
64,8192,2,4096,164.3565550124777
64,8192,2,16384,191.12198711124316
64,8192,8,16,158.68741921000858
64,8192,8,64,159.24050562976169
64,8192,8,256,161.4923574816135
64,8192,8,1024,170.69729575321847
64,8192,8,4096,197.8380364939592
64,8192,8,16384,304.89976488902096
64,8192,32,16,176.69927178446866
64,8192,32,64,177.373838963095
64,8192,32,256,186.38124637050242
64,8192,32,1024,223.20099945692218
64,8192,32,4096,331.76396241988516
64,8192,32,16384,760.0108760001322
64,8192,128,16,242.59556808076496
64,8192,128,64,261.083526754591
64,8192,128,256,308.4511787028363
64,8192,128,1024,455.7301910485154
64,8192,128,4096,889.9820429003671
64,8192,128,16384,2602.969697221355
64,8192,256,16,330.4572964758267
64,8192,256,64,357.7946378657021
64,8192,256,256,478.93923765067564
64,8192,256,1024,761.8952727632285
64,8192,256,4096,1630.398976466932
64,8192,256,16384,5056.374285108907
64,8192,512,16,506.1807532659501
64,8192,512,64,551.2168600879244
64,8192,512,256,744.4207191321573
64,8192,512,1024,1361.4776546602798
64,8192,512,4096,3098.485062067687
64,8192,512,16384,9950.435679351638
256,0,0,0,87.40589648908643
256,0,1,16,96.55009799429592
256,0,1,64,96.61923379676506
256,0,1,256,96.90071527824654
256,0,1,1024,98.05133256219716
256,0,1,4096,101.44392515478975
256,0,1,16384,114.82664120417246
256,0,2,16,97.23651774738235
256,0,2,64,97.37478935232062
256,0,2,256,97.93775231528357
256,0,2,1024,100.23898688318482
256,0,2,4096,107.02417206837
256,0,2,16384,133.78960416713542
256,0,8,16,101.35503626590086
256,0,8,64,101.90812268565395
256,0,8,256,104.1599745375058
256,0,8,1024,113.36491280911073
256,0,8,4096,140.50565354985147
256,0,8,16384,247.56738194491322
256,0,32,16,119.36688884036094
256,0,32,64,120.04145601898728
256,0,32,256,129.0488634263947
256,0,32,1024,165.86861651281447
256,0,32,4096,274.4315794757774
256,0,32,16384,702.6784930560244
