layer,sequences,time_us
lm_head,1,381.5861268047709
lm_head,2,382.3604938271605
lm_head,4,382.91604938271604
lm_head,8,383.75493827160494
lm_head,16,385.70679012345676
lm_head,32,389.3388888888889
lm_head,64,396.70432098765434
lm_head,128,411.7172839506173
lm_head,256,443.9493827160494
sampler,1,0.07451349654739485
sampler,2,0.1490269930947897
sampler,4,0.2980539861895794
sampler,8,0.5961079723791588
sampler,16,1.1922159447583176
sampler,32,2.384431889516635
sampler,64,4.76886377903327
sampler,128,9.53772755806654
sampler,256,19.07545511613308
