layer,tokens,time_us
embedding,1,0.0020087884494664155
embedding,2,0.004017576898932831
embedding,4,0.008035153797865662
embedding,8,0.016070307595731324
embedding,16,0.03214061519146265
embedding,32,0.0642812303829253
embedding,64,0.1285624607658506
embedding,128,0.2571249215317012
embedding,256,0.5142498430634024
embedding,512,1.0284996861268048
embedding,1024,2.0569993722536095
embedding,2048,4.113998744507219
layernorm,1,2.4988900631272726
layernorm,2,2.4988900631272726
layernorm,4,2.4988900631272726
layernorm,8,2.4988900631272726
layernorm,16,2.4988900631272726
layernorm,32,2.4988900631272726
layernorm,64,5.020601040073059
layernorm,128,9.99556025250909
layernorm,256,20.082404160292235
layernorm,512,40.16480832058447
layernorm,1024,79.6026517846878
layernorm,2048,141.87246810012903
qkv_proj,1,12.347018204645323
qkv_proj,2,12.533333333333335
qkv_proj,4,12.538271604938272
qkv_proj,8,12.54814814814815
qkv_proj,16,12.577777777777778
qkv_proj,32,12.679629629629629
qkv_proj,64,12.911111111111111
qkv_proj,128,13.472222222222223
qkv_proj,256,15.569135802469136
qkv_proj,512,25.208641975308645
qkv_proj,1024,47.33086419753086
qkv_proj,2048,91.5753086419753
rotary_emb,1,0.005021971123666038
rotary_emb,2,0.010043942247332077
rotary_emb,4,0.020087884494664154
rotary_emb,8,0.04017576898932831
rotary_emb,16,0.08035153797865661
rotary_emb,32,0.16070307595731323
rotary_emb,64,0.32140615191462646
rotary_emb,128,0.6428123038292529
rotary_emb,256,1.2856246076585058
rotary_emb,512,2.5712492153170117
rotary_emb,1024,5.142498430634023
rotary_emb,2048,10.284996861268047
o_proj,1,8.232015065913371
o_proj,2,8.392592592592592
o_proj,4,8.398148148148147
o_proj,8,8.408641975308642
o_proj,16,8.42962962962963
o_proj,32,8.511728395061729
o_proj,64,8.723456790123457
o_proj,128,9.220370370370372
o_proj,256,10.985802469135802
o_proj,512,17.834567901234568
o_proj,1024,32.58271604938272
o_proj,2048,62.07901234567902
gate_up_proj,1,57.6120527306968
gate_up_proj,2,57.94567901234568
gate_up_proj,4,57.95061728395062
gate_up_proj,8,57.96049382716049
gate_up_proj,16,58.120370370370374
gate_up_proj,32,58.4395061728395
gate_up_proj,64,58.97530864197531
gate_up_proj,128,60.242592592592594
gate_up_proj,256,63.670370370370364
gate_up_proj,512,106.32345679012346
gate_up_proj,1024,209.56049382716049
gate_up_proj,2048,416.0345679012346
act_fn,1,42.557716369628906
act_fn,2,41.618943214416504
act_fn,4,41.51463508605957
act_fn,8,41.931867599487305
act_fn,16,41.51463508605957
act_fn,32,40.9930944442749
act_fn,64,41.82755947113037
act_fn,128,41.72325134277344
act_fn,256,42.34910011291504
act_fn,512,51.73683166503906
act_fn,1024,69.78213787078857
act_fn,2048,105.97705841064453
down_proj,1,28.80703075957313
down_proj,2,29.071604938271605
down_proj,4,29.08641975308642
down_proj,8,29.11913580246914
down_proj,16,29.21358024691358
down_proj,32,29.45864197530864
down_proj,64,29.94074074074074
down_proj,128,30.919753086419757
down_proj,256,33.714814814814815
down_proj,512,55.56481481481482
down_proj,1024,107.3611111111111
down_proj,2048,208.4179012345679
final_layernorm,1,2.4988900631272726
final_layernorm,2,2.4988900631272726
final_layernorm,4,2.4988900631272726
final_layernorm,8,2.4988900631272726
final_layernorm,16,2.4988900631272726
final_layernorm,32,2.4988900631272726
final_layernorm,64,5.020601040073059
final_layernorm,128,9.99556025250909
final_layernorm,256,20.082404160292235
final_layernorm,512,40.16480832058447
final_layernorm,1024,79.6026517846878
final_layernorm,2048,141.87246810012903
