layer,sequences,time_us
lm_head,1,257.704080351538
lm_head,2,258.15432098765433
lm_head,4,258.3135802469136
lm_head,8,258.56358024691355
lm_head,16,259.1240740740741
lm_head,32,260.2104938271605
lm_head,64,262.3950617283951
lm_head,128,266.86172839506173
lm_head,256,276.52037037037036
sampler,1,0.06290018832391714
sampler,2,0.12580037664783428
sampler,4,0.25160075329566856
sampler,8,0.5032015065913371
sampler,16,1.0064030131826742
sampler,32,2.0128060263653484
sampler,64,4.025612052730697
sampler,128,8.051224105461394
sampler,256,16.102448210922788
