layer,sequences,time_us
lm_head,1,156.74784268804888
lm_head,2,157.0393442622951
lm_head,4,157.17978142076504
lm_head,8,157.32459016393443
lm_head,16,157.61420765027324
lm_head,32,158.1934426229508
lm_head,64,159.5770491803279
lm_head,128,162.36065573770492
lm_head,256,186.59071038251366
sampler,1,0.03825887743413517
sampler,2,0.07651775486827034
sampler,4,0.15303550973654068
sampler,8,0.30607101947308135
sampler,16,0.6121420389461627
sampler,32,1.2242840778923254
sampler,64,2.448568155784651
sampler,128,4.897136311569302
sampler,256,9.794272623138603
