prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,8.549813002123077
0,0,1,64,8.568719252123078
0,0,1,256,8.674656752123076
0,0,1,1024,9.167781752123076
0,0,1,4096,11.140281752123078
0,0,1,16384,19.030281752123145
0,0,2,16,8.641844252123077
0,0,2,64,8.679656752123076
0,0,2,256,8.891531752123077
0,0,2,1024,9.877781752123077
0,0,2,4096,13.82278175212308
0,0,2,16384,29.602781752123214
0,0,8,16,9.194031752123077
0,0,8,64,9.345281752123077
0,0,8,256,10.192781752123077
0,0,8,1024,14.137781752123077
0,0,8,4096,29.917781752123084
0,0,8,16384,93.03778175212364
0,0,32,16,12.94056025250909
0,0,32,64,12.007781752123076
0,0,32,256,15.397781752123077
0,0,32,1024,31.177781752123074
0,0,32,4096,94.29778175212311
0,0,32,16384,346.77778175212524
0,0,128,16,21.77556025250909
0,0,128,64,33.83413621028571
0,0,128,256,58.7321585289014
0,0,128,1024,121.8521585289014
0,0,128,4096,374.3321585289016
0,0,128,16384,1384.25215852891
0,0,256,16,33.55556025250909
0,0,256,64,48.03413621028571
0,0,256,256,124.23947673600001
0,0,256,1024,238.87748715719482
0,0,256,4096,743.837487157195
0,0,256,16384,2763.6774871572125
16,0,0,0,10.71806025250909
16,0,1,16,19.26787325463217
16,0,1,64,19.286779504632165
16,0,1,256,19.392717004632168
16,0,1,1024,19.885842004632167
16,0,1,4096,21.858342004632167
16,0,1,16384,29.748342004632235
16,0,2,16,19.359904504632166
16,0,2,64,19.397717004632167
16,0,2,256,19.609592004632166
16,0,2,1024,20.595842004632168
16,0,2,4096,24.540842004632168
16,0,2,16384,40.320842004632304
16,0,8,16,19.912092004632164
16,0,8,64,20.06334200463217
16,0,8,256,20.910842004632165
16,0,8,1024,24.855842004632166
16,0,8,4096,40.635842004632174
16,0,8,16384,103.75584200463273
16,0,32,16,23.658620505018177
16,0,32,64,22.725842004632167
16,0,32,256,26.115842004632164
16,0,32,1024,41.895842004632165
16,0,32,4096,105.0158420046322
16,0,32,16384,357.49584200463437
16,0,128,16,32.493620505018185
16,0,128,64,44.552196462794804
16,0,128,256,69.45021878141048
16,0,128,1024,132.5702187814105
16,0,128,4096,385.05021878141065
16,0,128,16384,1394.9702187814191
16,0,256,16,44.27362050501819
16,0,256,64,58.7521964627948
16,0,256,256,134.9575369885091
16,0,256,1024,249.5955474097039
16,0,256,4096,754.5555474097041
16,0,256,16384,2774.3955474097215
16,512,0,0,12.042781752123076
16,512,1,16,20.592594754246154
16,512,1,64,20.611501004246158
16,512,1,256,20.717438504246154
16,512,1,1024,21.210563504246156
16,512,1,4096,23.183063504246157
16,512,1,16384,31.07306350424622
16,512,2,16,20.684626004246155
16,512,2,64,20.722438504246153
16,512,2,256,20.934313504246155
16,512,2,1024,21.920563504246154
16,512,2,4096,25.865563504246158
16,512,2,16384,41.64556350424629
16,512,8,16,21.236813504246157
16,512,8,64,21.38806350424615
16,512,8,256,22.235563504246155
16,512,8,1024,26.180563504246155
16,512,8,4096,41.96056350424616
16,512,8,16384,105.08056350424671
16,512,32,16,24.98334200463217
16,512,32,64,24.050563504246156
16,512,32,256,27.440563504246157
16,512,32,1024,43.22056350424615
16,512,32,4096,106.34056350424619
16,512,32,16384,358.82056350424836
16,512,128,16,33.81834200463217
16,512,128,64,45.87691796240879
16,512,128,256,70.77494028102448
16,512,128,1024,133.89494028102447
16,512,128,4096,386.37494028102464
16,512,128,16384,1396.2949402810332
16,512,256,16,45.598342004632165
16,512,256,64,60.076917962408785
16,512,256,256,136.2822584881231
16,512,256,1024,250.9202689093179
16,512,256,4096,755.8802689093181
16,512,256,16384,2775.7202689093356
16,2048,0,0,20.74278175212307
16,2048,1,16,29.29259475424615
16,2048,1,64,29.311501004246146
16,2048,1,256,29.417438504246146
16,2048,1,1024,29.91056350424615
16,2048,1,4096,31.883063504246152
16,2048,1,16384,39.77306350424622
16,2048,2,16,29.384626004246147
16,2048,2,64,29.42243850424615
16,2048,2,256,29.634313504246148
16,2048,2,1024,30.62056350424615
16,2048,2,4096,34.56556350424614
16,2048,2,16384,50.345563504246286
16,2048,8,16,29.936813504246146
16,2048,8,64,30.088063504246147
16,2048,8,256,30.935563504246147
16,2048,8,1024,34.88056350424615
16,2048,8,4096,50.660563504246156
16,2048,8,16384,113.7805635042467
16,2048,32,16,33.68334200463216
16,2048,32,64,32.75056350424615
16,2048,32,256,36.140563504246145
16,2048,32,1024,51.92056350424615
16,2048,32,4096,115.04056350424618
16,2048,32,16384,367.52056350424834
16,2048,128,16,42.51834200463216
16,2048,128,64,54.576917962408785
16,2048,128,256,79.47494028102447
16,2048,128,1024,142.59494028102446
16,2048,128,4096,395.0749402810246
16,2048,128,16384,1404.9949402810332
16,2048,256,16,54.29834200463216
16,2048,256,64,68.77691796240877
16,2048,256,256,144.98225848812308
16,2048,256,1024,259.6202689093179
16,2048,256,4096,764.5802689093181
16,2048,256,16384,2784.4202689093354
16,8192,0,0,55.20278175212291
16,8192,1,16,63.752594754246
16,8192,1,64,63.77150100424599
16,8192,1,256,63.87743850424599
16,8192,1,1024,64.370563504246
16,8192,1,4096,66.34306350424599
16,8192,1,16384,74.23306350424606
16,8192,2,16,63.844626004245995
16,8192,2,64,63.88243850424598
16,8192,2,256,64.09431350424599
16,8192,2,1024,65.08056350424599
16,8192,2,4096,69.025563504246
16,8192,2,16384,84.80556350424612
16,8192,8,16,64.396813504246
16,8192,8,64,64.54806350424599
16,8192,8,256,65.39556350424598
16,8192,8,1024,69.34056350424599
16,8192,8,4096,85.12056350424601
16,8192,8,16384,148.24056350424655
16,8192,32,16,68.143342004632
16,8192,32,64,67.210563504246
16,8192,32,256,70.60056350424598
16,8192,32,1024,86.38056350424598
16,8192,32,4096,149.50056350424603
16,8192,32,16384,401.98056350424815
16,8192,128,16,76.97834200463201
16,8192,128,64,89.03691796240864
16,8192,128,256,113.93494028102431
16,8192,128,1024,177.05494028102433
16,8192,128,4096,429.53494028102443
16,8192,128,16384,1439.454940281033
16,8192,256,16,88.758342004632
16,8192,256,64,103.23691796240863
16,8192,256,256,179.44225848812292
16,8192,256,1024,294.08026890931774
16,8192,256,4096,799.040268909318
16,8192,256,16384,2818.8802689093354
64,0,0,0,22.95413621028571
64,0,1,16,31.503949212408788
64,0,1,64,31.522855462408785
64,0,1,256,31.628792962408784
64,0,1,1024,32.12191796240879
64,0,1,4096,34.094417962408784
64,0,1,16384,41.984417962408855
64,0,2,16,31.595980462408782
64,0,2,64,31.63379296240879
64,0,2,256,31.84566796240879
64,0,2,1024,32.83191796240879
64,0,2,4096,36.776917962408795
64,0,2,16384,52.556917962408924
64,0,8,16,32.148167962408785
64,0,8,64,32.29941796240879
64,0,8,256,33.146917962408786
64,0,8,1024,37.091917962408786
64,0,8,4096,52.871917962408794
64,0,8,16384,115.99191796240935
64,0,32,16,35.894696462794805
64,0,32,64,34.96191796240878
64,0,32,256,38.35191796240879
64,0,32,1024,54.131917962408785
64,0,32,4096,117.25191796240883
64,0,32,16384,369.731917962411
64,0,128,16,44.729696462794806
64,0,128,64,56.788272420571424
64,0,128,256,81.6862947391871
64,0,128,1024,144.8062947391871
64,0,128,4096,397.28629473918727
64,0,128,16384,1407.2062947391958
64,0,256,16,56.5096964627948
64,0,256,64,70.98827242057142
64,0,256,256,147.19361294628575
64,0,256,1024,261.8316233674805
64,0,256,4096,766.7916233674807
64,0,256,16384,2786.6316233674984
64,512,0,0,30.859267087515153
64,512,1,16,39.40908008963823
64,512,1,64,39.42798633963823
64,512,1,256,39.53392383963823
64,512,1,1024,40.027048839638226
64,512,1,4096,41.99954883963824
64,512,1,16384,49.889548839638294
64,512,2,16,39.501111339638236
64,512,2,64,39.53892383963823
64,512,2,256,39.75079883963823
64,512,2,1024,40.737048839638234
64,512,2,4096,44.68204883963823
64,512,2,16384,60.46204883963836
64,512,8,16,40.05329883963823
64,512,8,64,40.20454883963823
64,512,8,256,41.05204883963823
64,512,8,1024,44.997048839638225
64,512,8,4096,60.77704883963823
64,512,8,16384,123.89704883963877
64,512,32,16,43.79982734002424
64,512,32,64,42.86704883963824
64,512,32,256,46.25704883963823
64,512,32,1024,62.03704883963823
64,512,32,4096,125.15704883963826
64,512,32,16384,377.6370488396404
64,512,128,16,52.634827340024245
64,512,128,64,64.69340329780086
64,512,128,256,89.59142561641656
64,512,128,1024,152.71142561641656
64,512,128,4096,405.19142561641667
64,512,128,16384,1415.1114256164253
64,512,256,16,64.41482734002425
64,512,256,64,78.89340329780086
64,512,256,256,155.09874382351518
64,512,256,1024,269.73675424470997
64,512,256,4096,774.6967542447102
64,512,256,16384,2794.5367542447275
64,2048,0,0,63.85926708751511
64,2048,1,16,72.40908008963818
64,2048,1,64,72.42798633963818
64,2048,1,256,72.53392383963819
64,2048,1,1024,73.02704883963818
64,2048,1,4096,74.99954883963818
64,2048,1,16384,82.88954883963827
64,2048,2,16,72.50111133963819
64,2048,2,64,72.53892383963819
64,2048,2,256,72.7507988396382
64,2048,2,1024,73.73704883963819
64,2048,2,4096,77.68204883963818
64,2048,2,16384,93.46204883963833
64,2048,8,16,73.05329883963819
64,2048,8,64,73.20454883963818
64,2048,8,256,74.05204883963819
64,2048,8,1024,77.9970488396382
64,2048,8,4096,93.7770488396382
64,2048,8,16384,156.89704883963873
64,2048,32,16,76.79982734002421
64,2048,32,64,75.86704883963819
64,2048,32,256,79.25704883963819
64,2048,32,1024,95.03704883963819
64,2048,32,4096,158.15704883963824
64,2048,32,16384,410.6370488396404
64,2048,128,16,85.63482734002419
64,2048,128,64,97.69340329780083
64,2048,128,256,122.5914256164165
64,2048,128,1024,185.7114256164165
64,2048,128,4096,438.19142561641667
64,2048,128,16384,1448.1114256164253
64,2048,256,16,97.41482734002419
64,2048,256,64,111.89340329780082
64,2048,256,256,188.09874382351515
64,2048,256,1024,302.7367542447099
64,2048,256,4096,807.6967542447101
64,2048,256,16384,2827.536754244728
64,8192,0,0,195.85926708751506
64,8192,1,16,204.4090800896381
64,8192,1,64,204.42798633963812
64,8192,1,256,204.53392383963813
64,8192,1,1024,205.02704883963813
64,8192,1,4096,206.99954883963812
64,8192,1,16384,214.8895488396382
64,8192,2,16,204.50111133963813
64,8192,2,64,204.53892383963813
64,8192,2,256,204.75079883963812
64,8192,2,1024,205.7370488396381
64,8192,2,4096,209.68204883963813
64,8192,2,16384,225.46204883963824
64,8192,8,16,205.05329883963813
64,8192,8,64,205.20454883963814
64,8192,8,256,206.0520488396381
64,8192,8,1024,209.99704883963813
64,8192,8,4096,225.77704883963816
64,8192,8,16384,288.89704883963867
64,8192,32,16,208.79982734002414
64,8192,32,64,207.86704883963813
64,8192,32,256,211.25704883963814
64,8192,32,1024,227.03704883963812
64,8192,32,4096,290.15704883963815
64,8192,32,16384,542.6370488396403
64,8192,128,16,217.63482734002415
64,8192,128,64,229.69340329780076
64,8192,128,256,254.59142561641644
64,8192,128,1024,317.7114256164164
64,8192,128,4096,570.1914256164166
64,8192,128,16384,1580.1114256164253
64,8192,256,16,229.41482734002415
64,8192,256,64,243.89340329780077
64,8192,256,256,320.09874382351506
64,8192,256,1024,434.7367542447099
64,8192,256,4096,939.6967542447101
64,8192,256,16384,2959.5367542447275
