layer,tokens,time_us
embedding,1,0.002
embedding,2,0.004
embedding,4,0.008
embedding,8,0.016
embedding,16,0.032
embedding,32,0.064
embedding,64,0.128
embedding,128,0.256
embedding,256,0.512
embedding,512,1.024
embedding,1024,2.048
embedding,2048,4.096
layernorm,1,2.4988900631272726
layernorm,2,2.4988900631272726
layernorm,4,2.4988900631272726
layernorm,8,2.4988900631272726
layernorm,16,2.4988900631272726
layernorm,32,2.4988900631272726
layernorm,64,5.020601040073059
layernorm,128,9.99556025250909
layernorm,256,20.082404160292235
layernorm,512,40.16480832058447
layernorm,1024,79.6026517846878
layernorm,2048,141.87246810012903
qkv_proj,1,2.6100000000000034
qkv_proj,2,4.899999999999991
qkv_proj,4,8.84000000000002
qkv_proj,8,16.71999999999998
qkv_proj,16,32.47999999999993
qkv_proj,32,64.00000000000014
qkv_proj,64,127.03999999999974
qkv_proj,128,253.12000000000023
qkv_proj,256,505.28000000000065
qkv_proj,512,1009.5999999999972
qkv_proj,1024,2018.2399999999984
qkv_proj,2048,4021.1200000000185
rotary_emb,1,0.005
rotary_emb,2,0.01
rotary_emb,4,0.02
rotary_emb,8,0.04
rotary_emb,16,0.08
rotary_emb,32,0.16
rotary_emb,64,0.32
rotary_emb,128,0.64
rotary_emb,256,1.28
rotary_emb,512,2.56
rotary_emb,1024,5.12
rotary_emb,2048,10.24
o_proj,1,2.269999999999996
o_proj,2,3.900000000000005
o_proj,4,7.1600000000000135
o_proj,8,13.679999999999984
o_proj,16,26.720000000000088
o_proj,32,52.799999999999926
o_proj,64,104.96000000000008
o_proj,128,209.2800000000003
o_proj,256,417.91999999999945
o_proj,512,835.1999999999996
o_proj,1024,1669.7600000000023
o_proj,2048,3329.279999999982
gate_up_proj,1,4.369999999999995
gate_up_proj,2,8.420000000000012
gate_up_proj,4,16.519999999999992
gate_up_proj,8,32.399999999999935
gate_up_proj,16,62.24000000000012
gate_up_proj,32,121.91999999999992
gate_up_proj,64,241.28000000000043
gate_up_proj,128,479.99999999999847
gate_up_proj,256,957.439999999998
gate_up_proj,512,1912.320000000003
gate_up_proj,1024,3822.080000000011
gate_up_proj,2048,7572.480000000034
act_fn,1,42.557716369628906
act_fn,2,41.618943214416504
act_fn,4,41.51463508605957
act_fn,8,41.931867599487305
act_fn,16,41.51463508605957
act_fn,32,40.9930944442749
act_fn,64,41.82755947113037
act_fn,128,41.72325134277344
act_fn,256,42.34910011291504
act_fn,512,51.73683166503906
act_fn,1024,69.78213787078857
act_fn,2048,105.97705841064453
down_proj,1,7.894999999999942
down_proj,2,13.550000000000054
down_proj,4,24.860000000000063
down_proj,8,47.48000000000037
down_proj,16,92.71999999999956
down_proj,32,183.19999999999962
down_proj,64,364.1600000000003
down_proj,128,726.0799999999937
down_proj,256,1449.9199999999946
down_proj,512,2897.5999999999995
down_proj,1024,5792.9599999999455
down_proj,2048,11575.680000000113
final_layernorm,1,2.4988900631272726
final_layernorm,2,2.4988900631272726
final_layernorm,4,2.4988900631272726
final_layernorm,8,2.4988900631272726
final_layernorm,16,2.4988900631272726
final_layernorm,32,2.4988900631272726
final_layernorm,64,5.020601040073059
final_layernorm,128,9.99556025250909
final_layernorm,256,20.082404160292235
final_layernorm,512,40.16480832058447
final_layernorm,1024,79.6026517846878
final_layernorm,2048,141.87246810012903
