prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,27.53511508545641
0,0,1,64,27.53511508545641
0,0,1,256,33.628448418789745
0,0,1,1024,91.30311508545641
0,0,1,4096,327.07911508545646
0,0,1,16384,1440.689781752123
0,0,2,16,46.61244841878975
0,0,2,64,46.61244841878975
0,0,2,256,58.799115085456414
0,0,2,1024,174.14844841878974
0,0,2,4096,645.7004484187898
0,0,2,16384,2872.921781752123
0,0,8,16,161.07644841878974
0,0,8,64,161.07644841878974
0,0,8,256,209.82311508545644
0,0,8,1024,671.2204484187897
0,0,8,4096,2557.42844841879
0,0,8,16384,11466.313781752124
0,0,32,16,620.4702269191757
0,0,32,64,618.9324484187898
0,0,32,256,813.9191150854565
0,0,32,1024,2659.5084484187896
0,0,32,4096,10204.34044841879
0,0,32,16384,45839.88178175213
0,0,128,16,2451.8942269191757
0,0,128,64,2461.5328028769527
0,0,128,256,3252.8174918622353
0,0,128,1024,10635.174825195567
0,0,128,4096,40814.502825195574
0,0,128,16384,183356.66815852892
0,0,256,16,4893.792893585843
0,0,256,64,4903.431469543619
0,0,256,256,6512.410143402667
0,0,256,1024,21265.52282049053
0,0,256,4096,81624.17882049055
0,0,256,16384,366708.5094871572
16,0,0,0,29.072893585842426
16,0,1,16,56.60800867129884
16,0,1,64,56.60800867129884
16,0,1,256,62.70134200463217
16,0,1,1024,120.37600867129885
16,0,1,4096,356.15200867129886
16,0,1,16384,1469.7626753379657
16,0,2,16,75.68534200463216
16,0,2,64,75.68534200463216
16,0,2,256,87.87200867129884
16,0,2,1024,203.22134200463213
16,0,2,4096,674.7733420046324
16,0,2,16384,2901.9946753379654
16,0,8,16,190.14934200463216
16,0,8,64,190.14934200463216
16,0,8,256,238.89600867129883
16,0,8,1024,700.2933420046322
16,0,8,4096,2586.501342004632
16,0,8,16384,11495.386675337966
16,0,32,16,649.5431205050182
16,0,32,64,648.0053420046323
16,0,32,256,842.992008671299
16,0,32,1024,2688.581342004632
16,0,32,4096,10233.413342004633
16,0,32,16384,45868.95467533797
16,0,128,16,2480.967120505018
16,0,128,64,2490.605696462795
16,0,128,256,3281.8903854480777
16,0,128,1024,10664.24771878141
16,0,128,4096,40843.575718781416
16,0,128,16384,183385.74105211475
16,0,256,16,4922.865787171685
16,0,256,64,4932.504363129461
16,0,256,256,6541.483036988509
16,0,256,1024,21294.59571407637
16,0,256,4096,81653.2517140764
16,0,256,16384,366737.58238074306
16,512,0,0,72.9031150854564
16,512,1,16,100.43823017091282
16,512,1,64,100.43823017091282
16,512,1,256,106.53156350424615
16,512,1,1024,164.20623017091285
16,512,1,4096,399.9822301709128
16,512,1,16384,1513.5928968375795
16,512,2,16,119.51556350424616
16,512,2,64,119.51556350424616
16,512,2,256,131.70223017091283
16,512,2,1024,247.05156350424616
16,512,2,4096,718.6035635042463
16,512,2,16384,2945.8248968375797
16,512,8,16,233.97956350424616
16,512,8,64,233.97956350424616
16,512,8,256,282.72623017091286
16,512,8,1024,744.1235635042461
16,512,8,4096,2630.3315635042463
16,512,8,16384,11539.216896837579
16,512,32,16,693.3733420046321
16,512,32,64,691.8355635042462
16,512,32,256,886.8222301709129
16,512,32,1024,2732.411563504246
16,512,32,4096,10277.243563504248
16,512,32,16384,45912.784896837584
16,512,128,16,2524.7973420046324
16,512,128,64,2534.435917962409
16,512,128,256,3325.7206069476915
16,512,128,1024,10708.077940281022
16,512,128,4096,40887.40594028103
16,512,128,16384,183429.57127361436
16,512,256,16,4966.6960086713
16,512,256,64,4976.334584629076
16,512,256,256,6585.313258488124
16,512,256,1024,21338.425935575986
16,512,256,4096,81697.081935576
16,512,256,16384,366781.41260224266
16,2048,0,0,190.79111508545643
16,2048,1,16,218.32623017091285
16,2048,1,64,218.32623017091285
16,2048,1,256,224.41956350424618
16,2048,1,1024,282.09423017091285
16,2048,1,4096,517.8702301709128
16,2048,1,16384,1631.4808968375794
16,2048,2,16,237.4035635042462
16,2048,2,64,237.4035635042462
16,2048,2,256,249.59023017091286
16,2048,2,1024,364.93956350424617
16,2048,2,4096,836.4915635042463
16,2048,2,16384,3063.7128968375796
16,2048,8,16,351.86756350424616
16,2048,8,64,351.86756350424616
16,2048,8,256,400.61423017091283
16,2048,8,1024,862.0115635042462
16,2048,8,4096,2748.2195635042463
16,2048,8,16384,11657.10489683758
16,2048,32,16,811.2613420046322
16,2048,32,64,809.7235635042463
16,2048,32,256,1004.710230170913
16,2048,32,1024,2850.299563504246
16,2048,32,4096,10395.131563504247
16,2048,32,16384,46030.67289683758
16,2048,128,16,2642.6853420046323
16,2048,128,64,2652.3239179624093
16,2048,128,256,3443.608606947692
16,2048,128,1024,10825.965940281023
16,2048,128,4096,41005.29394028103
16,2048,128,16384,183547.45927361437
16,2048,256,16,5084.5840086713
16,2048,256,64,5094.222584629076
16,2048,256,256,6703.201258488124
16,2048,256,1024,21456.313935575985
16,2048,256,4096,81814.969935576
16,2048,256,16384,366899.3006022427
16,8192,0,0,835.7671150854563
16,8192,1,16,863.3022301709127
16,8192,1,64,863.3022301709127
16,8192,1,256,869.3955635042461
16,8192,1,1024,927.0702301709127
16,8192,1,4096,1162.8462301709126
16,8192,1,16384,2276.4568968375797
16,8192,2,16,882.3795635042461
16,8192,2,64,882.3795635042461
16,8192,2,256,894.5662301709128
16,8192,2,1024,1009.9155635042459
16,8192,2,4096,1481.467563504246
16,8192,2,16384,3708.6888968375793
16,8192,8,16,996.8435635042462
16,8192,8,64,996.8435635042462
16,8192,8,256,1045.5902301709127
16,8192,8,1024,1506.987563504246
16,8192,8,4096,3393.1955635042464
16,8192,8,16384,12302.08089683758
16,8192,32,16,1456.237342004632
16,8192,32,64,1454.699563504246
16,8192,32,256,1649.6862301709127
16,8192,32,1024,3495.275563504246
16,8192,32,4096,11040.107563504247
16,8192,32,16384,46675.648896837585
16,8192,128,16,3287.661342004632
16,8192,128,64,3297.299917962409
16,8192,128,256,4088.584606947692
16,8192,128,1024,11470.941940281024
16,8192,128,4096,41650.26994028103
16,8192,128,16384,184192.43527361436
16,8192,256,16,5729.560008671298
16,8192,256,64,5739.198584629075
16,8192,256,256,7348.177258488124
16,8192,256,1024,22101.289935575984
16,8192,256,4096,82459.945935576
16,8192,256,16384,367544.2766022427
64,0,0,0,45.12213621028571
64,0,1,16,72.65725129574211
64,0,1,64,72.65725129574211
64,0,1,256,78.75058462907546
64,0,1,1024,136.42525129574213
64,0,1,4096,372.20125129574217
64,0,1,16384,1485.8119179624089
64,0,2,16,91.73458462907546
64,0,2,64,91.73458462907546
64,0,2,256,103.92125129574212
64,0,2,1024,219.27058462907544
64,0,2,4096,690.8225846290757
64,0,2,16384,2918.0439179624086
64,0,8,16,206.19858462907544
64,0,8,64,206.19858462907544
64,0,8,256,254.94525129574217
64,0,8,1024,716.3425846290755
64,0,8,4096,2602.5505846290757
64,0,8,16384,11511.43591796241
64,0,32,16,665.5923631294615
64,0,32,64,664.0545846290756
64,0,32,256,859.0412512957423
64,0,32,1024,2704.630584629075
64,0,32,4096,10249.462584629076
64,0,32,16384,45885.003917962415
64,0,128,16,2497.0163631294613
64,0,128,64,2506.6549390872383
64,0,128,256,3297.939628072521
64,0,128,1024,10680.296961405853
64,0,128,4096,40859.62496140586
64,0,128,16384,183401.79029473918
64,0,256,16,4938.915029796129
64,0,256,64,4948.553605753905
64,0,256,256,6557.532279612953
64,0,256,1024,21310.644956700813
64,0,256,4096,81669.30095670083
64,0,256,16384,366753.6316233675
64,512,0,0,100.32593375418183
64,512,1,16,127.86104883963823
64,512,1,64,127.86104883963823
64,512,1,256,133.95438217297158
64,512,1,1024,191.62904883963824
64,512,1,4096,427.4050488396383
64,512,1,16384,1541.015715506305
64,512,2,16,146.93838217297156
64,512,2,64,146.93838217297156
64,512,2,256,159.12504883963825
64,512,2,1024,274.47438217297156
64,512,2,4096,746.0263821729717
64,512,2,16384,2973.2477155063048
64,512,8,16,261.4023821729716
64,512,8,64,261.4023821729716
64,512,8,256,310.1490488396382
64,512,8,1024,771.5463821729716
64,512,8,4096,2657.754382172972
64,512,8,16384,11566.639715506306
64,512,32,16,720.7961606733576
64,512,32,64,719.2583821729717
64,512,32,256,914.2450488396383
64,512,32,1024,2759.8343821729713
64,512,32,4096,10304.666382172973
64,512,32,16384,45940.20771550631
64,512,128,16,2552.2201606733574
64,512,128,64,2561.8587366311344
64,512,128,256,3353.143425616417
64,512,128,1024,10735.500758949749
64,512,128,4096,40914.828758949756
64,512,128,16384,183456.99409228307
64,512,256,16,4994.118827340024
64,512,256,64,5003.757403297801
64,512,256,256,6612.736077156849
64,512,256,1024,21365.84875424471
64,512,256,4096,81724.50475424473
64,512,256,16384,366808.83542091143
64,2048,0,0,253.09926708751516
64,2048,1,16,280.6343821729715
64,2048,1,64,280.6343821729715
64,2048,1,256,286.7277155063049
64,2048,1,1024,344.40238217297156
64,2048,1,4096,580.1783821729716
64,2048,1,16384,1693.7890488396383
64,2048,2,16,299.71171550630487
64,2048,2,64,299.71171550630487
64,2048,2,256,311.89838217297154
64,2048,2,1024,427.24771550630487
64,2048,2,4096,898.7997155063051
64,2048,2,16384,3126.0210488396383
64,2048,8,16,414.17571550630487
64,2048,8,64,414.17571550630487
64,2048,8,256,462.9223821729716
64,2048,8,1024,924.3197155063049
64,2048,8,4096,2810.527715506305
64,2048,8,16384,11719.413048839639
64,2048,32,16,873.5694940066909
64,2048,32,64,872.031715506305
64,2048,32,256,1067.0183821729718
64,2048,32,1024,2912.6077155063044
64,2048,32,4096,10457.439715506305
64,2048,32,16384,46092.98104883965
64,2048,128,16,2704.9934940066905
64,2048,128,64,2714.6320699644675
64,2048,128,256,3505.91675894975
64,2048,128,1024,10888.274092283082
64,2048,128,4096,41067.602092283094
64,2048,128,16384,183609.76742561645
64,2048,256,16,5146.8921606733575
64,2048,256,64,5156.5307366311345
64,2048,256,256,6765.509410490182
64,2048,256,1024,21518.622087578042
64,2048,256,4096,81877.27808757806
64,2048,256,16384,366961.6087542447
64,8192,0,0,1039.2752670875152
64,8192,1,16,1066.8103821729715
64,8192,1,64,1066.8103821729715
64,8192,1,256,1072.903715506305
64,8192,1,1024,1130.5783821729715
64,8192,1,4096,1366.3543821729716
64,8192,1,16384,2479.9650488396383
64,8192,2,16,1085.8877155063049
64,8192,2,64,1085.8877155063049
64,8192,2,256,1098.0743821729716
64,8192,2,1024,1213.423715506305
64,8192,2,4096,1684.975715506305
64,8192,2,16384,3912.1970488396382
64,8192,8,16,1200.351715506305
64,8192,8,64,1200.351715506305
64,8192,8,256,1249.0983821729715
64,8192,8,1024,1710.495715506305
64,8192,8,4096,3596.703715506305
64,8192,8,16384,12505.589048839638
64,8192,32,16,1659.745494006691
64,8192,32,64,1658.2077155063048
64,8192,32,256,1853.1943821729717
64,8192,32,1024,3698.783715506305
64,8192,32,4096,11243.615715506305
64,8192,32,16384,46879.15704883965
64,8192,128,16,3491.1694940066914
64,8192,128,64,3500.8080699644674
64,8192,128,256,4292.0927589497505
64,8192,128,1024,11674.450092283081
64,8192,128,4096,41853.77809228309
64,8192,128,16384,184395.94342561642
64,8192,256,16,5933.068160673358
64,8192,256,64,5942.706736631135
64,8192,256,256,7551.685410490182
64,8192,256,1024,22304.79808757804
64,8192,256,4096,82663.45408757805
64,8192,256,16384,367747.7847542447
256,0,0,0,121.18614340266667
256,0,1,16,148.72125848812308
256,0,1,64,148.72125848812308
256,0,1,256,154.81459182145642
256,0,1,1024,212.48925848812308
256,0,1,4096,448.2652584881231
256,0,1,16384,1561.8759251547897
256,0,2,16,167.7985918214564
256,0,2,64,167.7985918214564
256,0,2,256,179.98525848812307
256,0,2,1024,295.3345918214564
256,0,2,4096,766.8865918214566
256,0,2,16384,2994.10792515479
256,0,8,16,282.2625918214564
256,0,8,64,282.2625918214564
256,0,8,256,331.0092584881231
256,0,8,1024,792.4065918214565
256,0,8,4096,2678.6145918214565
256,0,8,16384,11587.49992515479
256,0,32,16,741.6563703218425
256,0,32,64,740.1185918214566
256,0,32,256,935.1052584881232
256,0,32,1024,2780.694591821456
256,0,32,4096,10325.526591821457
256,0,32,16384,45961.06792515479
256,0,128,16,2573.0803703218426
256,0,128,64,2582.718946279619
256,0,128,256,3374.0036352649017
256,0,128,1024,10756.360968598234
256,0,128,4096,40935.68896859824
256,0,128,16384,183477.8543019316
256,0,256,16,5014.9790369885095
256,0,256,64,5024.6176129462865
256,0,256,256,6633.596286805334
256,0,256,1024,21386.708963893194
256,0,256,4096,81745.3649638932
256,0,256,16384,366829.6956305599
256,512,0,0,176.04282049052813
256,512,1,16,203.57793557598453
256,512,1,64,203.57793557598453
256,512,1,256,209.67126890931786
256,512,1,1024,267.3459355759845
256,512,1,4096,503.12193557598454
256,512,1,16384,1616.7326022426512
256,512,2,16,222.65526890931787
256,512,2,64,222.65526890931787
256,512,2,256,234.84193557598454
256,512,2,1024,350.19126890931784
256,512,2,4096,821.743268909318
256,512,2,16384,3048.964602242651
256,512,8,16,337.11926890931784
256,512,8,64,337.11926890931784
256,512,8,256,385.8659355759845
256,512,8,1024,847.2632689093178
256,512,8,4096,2733.471268909318
256,512,8,16384,11642.356602242651
256,512,32,16,796.5130474097039
256,512,32,64,794.975268909318
256,512,32,256,989.9619355759846
256,512,32,1024,2835.551268909318
256,512,32,4096,10380.383268909318
256,512,32,16384,46015.92460224266
256,512,128,16,2627.937047409704
256,512,128,64,2637.5756233674806
256,512,128,256,3428.8603123527632
256,512,128,1024,10811.217645686094
256,512,128,4096,40990.54564568611
256,512,128,16384,183532.71097901944
256,512,256,16,5069.835714076371
256,512,256,64,5079.474290034147
256,512,256,256,6688.452963893195
256,512,256,1024,21441.565640981054
256,512,256,4096,81800.22164098106
256,512,256,16384,366884.55230764777
256,2048,0,0,375.86682049052814
256,2048,1,16,403.40193557598457
256,2048,1,64,403.40193557598457
256,2048,1,256,409.4952689093179
256,2048,1,1024,467.16993557598454
256,2048,1,4096,702.9459355759845
256,2048,1,16384,1816.556602242651
256,2048,2,16,422.4792689093179
256,2048,2,64,422.4792689093179
256,2048,2,256,434.6659355759846
256,2048,2,1024,550.0152689093178
256,2048,2,4096,1021.5672689093182
256,2048,2,16384,3248.7886022426515
256,2048,8,16,536.9432689093179
256,2048,8,64,536.9432689093179
256,2048,8,256,585.6899355759846
256,2048,8,1024,1047.087268909318
256,2048,8,4096,2933.295268909318
256,2048,8,16384,11842.180602242652
256,2048,32,16,996.3370474097039
256,2048,32,64,994.799268909318
