layer,tokens,time_us
embedding,1,0.002
embedding,2,0.004
embedding,4,0.008
embedding,8,0.016
embedding,16,0.032
embedding,32,0.064
embedding,64,0.128
embedding,128,0.256
embedding,256,0.512
embedding,512,1.024
embedding,1024,2.048
embedding,2048,4.096
layernorm,1,2.4988900631272726
layernorm,2,2.4988900631272726
layernorm,4,2.4988900631272726
layernorm,8,2.4988900631272726
layernorm,16,2.4988900631272726
layernorm,32,2.4988900631272726
layernorm,64,5.020601040073059
layernorm,128,9.99556025250909
layernorm,256,20.082404160292235
layernorm,512,40.16480832058447
layernorm,1024,79.6026517846878
layernorm,2048,141.87246810012903
qkv_proj,1,147.06549999999996
qkv_proj,2,147.06549999999996
qkv_proj,4,147.06549999999996
qkv_proj,8,147.06549999999996
qkv_proj,16,147.06549999999996
qkv_proj,32,147.06549999999996
qkv_proj,64,178.40949999999995
qkv_proj,128,182.197
qkv_proj,256,216.3318333333333
qkv_proj,512,254.25416666666655
qkv_proj,1024,330.0988333333337
qkv_proj,2048,554.057666666667
rotary_emb,1,0.005
rotary_emb,2,0.01
rotary_emb,4,0.02
rotary_emb,8,0.04
rotary_emb,16,0.08
rotary_emb,32,0.16
rotary_emb,64,0.32
rotary_emb,128,0.64
rotary_emb,256,1.28
rotary_emb,512,2.56
rotary_emb,1024,5.12
rotary_emb,2048,10.24
o_proj,1,98.2588333333333
o_proj,2,98.2588333333333
o_proj,4,98.2588333333333
o_proj,8,98.2588333333333
o_proj,16,98.2588333333333
o_proj,32,98.2588333333333
o_proj,64,119.1548333333333
o_proj,128,121.68233333333323
o_proj,256,144.64783333333327
o_proj,512,170.1408333333333
o_proj,1024,221.12683333333354
o_proj,2048,370.77233333333317
gate_up_proj,1,683.9388333333343
gate_up_proj,2,683.9388333333343
gate_up_proj,4,683.9388333333343
gate_up_proj,8,683.9388333333343
gate_up_proj,16,683.9388333333343
gate_up_proj,32,683.9388333333343
gate_up_proj,64,830.2108333333374
gate_up_proj,128,847.8583333333321
gate_up_proj,256,1004.8558333333332
gate_up_proj,512,1179.5008333333296
gate_up_proj,1024,1528.7908333333307
gate_up_proj,2048,2570.1963333333442
act_fn,1,42.557716369628906
act_fn,2,41.618943214416504
act_fn,4,41.51463508605957
act_fn,8,41.931867599487305
act_fn,16,41.51463508605957
act_fn,32,40.9930944442749
act_fn,64,41.82755947113037
act_fn,128,41.72325134277344
act_fn,256,42.34910011291504
act_fn,512,51.73683166503906
act_fn,1024,69.78213787078857
act_fn,2048,105.97705841064453
down_proj,1,412.4368333333331
down_proj,2,412.4368333333331
down_proj,4,412.4368333333331
down_proj,8,412.4368333333331
down_proj,16,412.4368333333331
down_proj,32,412.4368333333331
down_proj,64,484.71950000000066
down_proj,128,492.7670000000003
down_proj,256,571.7511666666663
down_proj,512,727.5368333333317
down_proj,1024,1107.8621666666647
down_proj,2048,1798.6491666666707
final_layernorm,1,2.4988900631272726
final_layernorm,2,2.4988900631272726
final_layernorm,4,2.4988900631272726
final_layernorm,8,2.4988900631272726
final_layernorm,16,2.4988900631272726
final_layernorm,32,2.4988900631272726
final_layernorm,64,5.020601040073059
final_layernorm,128,9.99556025250909
final_layernorm,256,20.082404160292235
final_layernorm,512,40.16480832058447
final_layernorm,1024,79.6026517846878
final_layernorm,2048,141.87246810012903
